Project Name,Package Name,Architecture Smell,Cause of the Smell
superword,org.apdplat.superword.rule,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [WordVectorTest; WordVector; SimilarityRule]; [CompoundWordTest]; [SimilarWord]; [IndependentWordRule; PrefixRule; SuffixRule; RootAffixRule; RootRule; DependenceWordRule]; [CharTransformRule]; [WordVector.Score]; [DynamicPrefixRule]; [WordLengthStatistics]; [DefinitionSimilarRule]; [DefinitionSimilarRule.Result]; [DynamicSuffixRule]; [CompoundWord]; [PartOfSpeech]. LCC (Lack of Component Cohesion) = 0.65
superword,org.apdplat.superword.rule,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apdplat.superword.tools; org.apdplat.superword.model.
superword,org.apdplat.superword.rule,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apdplat.superword.rule; org.apdplat.superword.tools; org.apdplat.superword.rule
superword,org.apdplat.superword.tools,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
superword,org.apdplat.superword.tools,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apdplat.superword.rule
superword,org.apdplat.superword.tools,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FootNSentence; TextAnalyzer; HtmlFormatter; SentenceScorer; WordSources; Summary; WordsFetcher; Definition; WordLinker; WordClassifierForWebster; WordClassifierForOxford; Pronunciation; WordClassifier; ThreadPool; ProxyIp; WordClassifierForYouDao; TimeUtils; DynamicIp; AidReading; IrregularPlurals; MySQLUtils; PdfParser; IrregularVerbs; TopNSentence; FileUtils; JavaCodeAnalyzer]; [OxfordSymbol]; [PrefixSuffixOptimizer]; [WordLinker.Dictionary]; [IcibaSymbol]; [WebsterSymbol]; [OxfordPOS]; [YoudaoSymbol]; [IPUtils]; [TextAnalyzer.Stat]; [WebsterPOS]. LCC (Lack of Component Cohesion) = 0.31
superword,org.apdplat.superword.system,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [WordsFilter]; [InstantTipServlet; InstantTip]; [AntiRobotFilter]; [HistoryFilter]; [ViewWordServlet]. LCC (Lack of Component Cohesion) = 0.83
superword,org.apdplat.superword.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apdplat.superword.tools
superword,org.apdplat.superword.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [QQUser; User]; [MyNewWord; HistoryRecord; UserWord; UserDynamicSuffix; UserText; UserUrl; UserDynamicPrefix; UserBook; UserSimilarWord]; [Prefix]; [SynonymDiscrimination; Word; Quiz; QuizItem; SynonymAntonym]; [ComplexPrefix]; [ComplexSuffix]; [CharMap]; [Suffix]. LCC (Lack of Component Cohesion) = 0.38
superword,org.apdplat.superword.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apdplat.superword.model; org.apdplat.superword.tools; org.apdplat.superword.model
superword,org.apdplat.superword.extract,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SynonymAntonymExtractor]; [DefinitionExtractor]; [PartOfSpeechExtractor]; [SuffixExtractor]; [RootAffixExtractor]; [PhraseExtractor]; [SynonymDiscriminationExtractor]; [PrefixExtractor]; [SentenceExtractor]; [HyphenExtractor]; [ChineseSynonymAntonymExtractor]. LCC (Lack of Component Cohesion) = 1.0
superword,org.apdplat.superword.extract,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apdplat.superword.model; org.apdplat.superword.tools.
