Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
superword,org.apdplat.superword.rule,WordVectorTest,testOf,Magic Number,The method contains a magic number: 12,32
superword,org.apdplat.superword.rule,WordVectorTest,testOf,Magic Number,The method contains a magic number: 12,32
superword,org.apdplat.superword.rule,WordVectorTest,testOf,Magic Number,The method contains a magic number: 3,32
superword,org.apdplat.superword.rule,WordVectorTest,testOf,Magic Number,The method contains a magic number: 3,32
superword,org.apdplat.superword.rule,CompoundWordTest,testFind,Magic Number,The method contains a magic number: 2,41
superword,org.apdplat.superword.rule,CompoundWordTest,testFind,Magic Number,The method contains a magic number: 4,41
superword,org.apdplat.superword.rule,CompoundWordTest,testFind,Magic Number,The method contains a magic number: 5,41
superword,org.apdplat.superword.rule,SimilarWord,interact,Complex Method,Cyclomatic complexity of the method is 10,108
superword,org.apdplat.superword.rule,SimilarWord,interact,Magic Number,The method contains a magic number: 3,108
superword,org.apdplat.superword.rule,SimilarWord,getTimeDes,Complex Method,Cyclomatic complexity of the method is 8,162
superword,org.apdplat.superword.rule,SimilarWord,getTimeDes,Magic Number,The method contains a magic number: 1000,162
superword,org.apdplat.superword.rule,SimilarWord,getTimeDes,Magic Number,The method contains a magic number: 60,162
superword,org.apdplat.superword.rule,SimilarWord,getTimeDes,Magic Number,The method contains a magic number: 60,162
superword,org.apdplat.superword.rule,SimilarWord,getTimeDes,Magic Number,The method contains a magic number: 24,162
superword,org.apdplat.superword.rule,SimilarWord,main,Long Statement,The length of the statement "List<String> words=WordSources.getSyllabusVocabulary().parallelStream().map(word -> word.getWord()).collect(Collectors.toList());" is 129.,206
superword,org.apdplat.superword.rule,IndependentWordRule,getIndependentWord,Long Statement,The length of the statement "return WordSources.minus(words`rs).stream().map(word -> WordLinker.toLink(word.getWord()`dictionary)).sorted().collect(Collectors.toList());" is 140.,49
superword,org.apdplat.superword.rule,IndependentWordRule,main,Magic Number,The method contains a magic number: 5,70
superword,org.apdplat.superword.rule,DependenceWordRule,main,Magic Number,The method contains a magic number: 5,92
superword,org.apdplat.superword.rule,DependenceWordRule,main,Magic Number,The method contains a magic number: 640,92
superword,org.apdplat.superword.rule,CharTransformRule,toHtmlFragmentForWord,Long Statement,The length of the statement "result.append("\t").append(j.incrementAndGet()).append(". ").append(charMap.getFrom()).append(" - ").append(charMap.getTo()).append("\n");" is 138.,129
superword,org.apdplat.superword.rule,CharTransformRule,toHtmlFragmentForWord,Long Statement,The length of the statement "result.append("\t\t").append("<li>").append(WordLinker.toLink(word.getWord()`from)).append(" -> ").append(WordLinker.toLink(word.getWord().replaceAll(from`to)`to)).append("</li>\n");" is 182.,129
superword,org.apdplat.superword.rule,CharTransformRule,transform,Long Statement,The length of the statement "List<Word> list=words.parallelStream().filter(word -> word.getWord().contains(from) && words.contains(new Word(word.getWord().replaceAll(from`to)`null))).sorted().collect(Collectors.toList());" is 192.,205
