Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
superword,org.apdplat.superword.rule,WordVectorTest,testOf,27,1,0,32,1,org.apdplat.superword.rule.WordVector,org.apdplat.superword.rule.WordVector
superword,org.apdplat.superword.rule,CompoundWordTest,testFind,11,1,0,41,1,,
superword,org.apdplat.superword.rule,SimilarWord,SimilarWord,4,1,0,56,0,,
superword,org.apdplat.superword.rule,SimilarWord,getLimit,3,1,0,64,0,,
superword,org.apdplat.superword.rule,SimilarWord,setLimit,4,1,1,68,0,,
superword,org.apdplat.superword.rule,SimilarWord,getTextSimilarity,3,1,0,73,0,,
superword,org.apdplat.superword.rule,SimilarWord,setTextSimilarity,5,1,1,77,0,,
superword,org.apdplat.superword.rule,SimilarWord,compute,9,1,4,83,0,,
superword,org.apdplat.superword.rule,SimilarWord,compute,3,1,4,92,0,,
superword,org.apdplat.superword.rule,SimilarWord,tip,11,1,0,96,0,,
superword,org.apdplat.superword.rule,SimilarWord,interact,51,10,2,108,0,org.apdplat.superword.rule.SimilarWord,org.apdplat.superword.rule.SimilarWord
superword,org.apdplat.superword.rule,SimilarWord,process,3,1,3,145,0,,
superword,org.apdplat.superword.rule,SimilarWord,process,13,2,3,148,0,org.apdplat.superword.rule.SimilarWord,org.apdplat.superword.rule.SimilarWord
superword,org.apdplat.superword.rule,SimilarWord,getTimeDes,34,8,1,162,0,,
superword,org.apdplat.superword.rule,SimilarWord,main,9,2,1,206,0,org.apdplat.superword.tools.WordSources,org.apdplat.superword.tools.WordSources; org.apdplat.superword.rule.SimilarWord; org.apdplat.superword.model.Word
superword,org.apdplat.superword.rule,IndependentWordRule,IndependentWordRule,2,1,0,41,0,,
superword,org.apdplat.superword.rule,IndependentWordRule,getIndependentWord,3,1,0,43,0,org.apdplat.superword.rule.IndependentWordRule,org.apdplat.superword.rule.IndependentWordRule; org.apdplat.superword.tools.WordSources
