Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
superword,org.apdplat.superword.rule,CharTransformRule,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apdplat.superword.model.Word
superword,org.apdplat.superword.rule,WordVector.Score,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
superword,org.apdplat.superword.rule,RootRule,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apdplat.superword.model.Word
superword,org.apdplat.superword.rule,DynamicPrefixRule,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apdplat.superword.model.Prefix
superword,org.apdplat.superword.rule,DefinitionSimilarRule.Result,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
superword,org.apdplat.superword.rule,DynamicSuffixRule,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apdplat.superword.model.Suffix
superword,org.apdplat.superword.tools,Definition,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ICIBA_CSS_PATH; YOUDAO_CSS_PATH; COLLINS_CSS_PATH; CAMBRIDGE_CSS_PATH; MACMILLAN_CSS_PATH; HERITAGE_CSS_PATH; WIKTIONARY_CSS_PATH; WORDNET_CSS_PATH; RANDOMHOUSE_CSS_PATH
superword,org.apdplat.superword.tools,WordLinker,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SERVER_REDIRECT_VALUE; serverRedirect; jsDefinition; EM_PRE; EM_SUF; ICIBA; YOUDAO; COLLINS; WEBSTER; OXFORD; CAMBRIDGE; MACMILLAN; HERITAGE; WIKTIONARY; WORDNET; RANDOMHOUSE
superword,org.apdplat.superword.tools,WordLinker.Dictionary,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
superword,org.apdplat.superword.tools,Pronunciation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ICIBA_CSS_PATH; YOUDAO_CSS_PATH; OXFORD_CSS_PATH; WEBSTER_CSS_PATH; COLLINS_CSS_PATH; CAMBRIDGE_CSS_PATH; MACMILLAN_CSS_PATH; HERITAGE_CSS_PATH; WIKTIONARY_CSS_PATH; WORDNET_CSS_PATH; RANDOMHOUSE_CSS_PATH
superword,org.apdplat.superword.tools,ThreadPool,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EXECUTOR_SERVICE
superword,org.apdplat.superword.tools,TextAnalyzer.Stat,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
superword,org.apdplat.superword.tools,HtmlFormatter,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apdplat.superword.model.Word
superword,org.apdplat.superword.tools,HtmlFormatter,Law of Demeter violation,The tool detected the smell in this method (toHtmlForAntonym) because the method voilates the law of Demeter. The long chain of method invocations is : org.apdplat.superword.model.Word.getWord; org.apdplat.superword.model.SynonymAntonym.getWord
superword,org.apdplat.superword.tools,HtmlFormatter,Law of Demeter violation,The tool detected the smell in this method (toHtmlForSynonymAntonym) because the method voilates the law of Demeter. The long chain of method invocations is : org.apdplat.superword.model.Word.getWord; org.apdplat.superword.model.SynonymAntonym.getWord
superword,org.apdplat.superword.tools,WordSources,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apdplat.superword.model.Word
