Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
superword,org.apdplat.superword.rule,WordVectorTest,0,0,1,1,32,1,0,0,-1.0,0,1,/Users/wasi.alavi/git/csci3130/assn_3/superword/src/test/java/org/apdplat/superword/rule/WordVectorTest.java,27
superword,org.apdplat.superword.rule,CompoundWordTest,0,0,1,1,16,1,0,0,-1.0,0,0,/Users/wasi.alavi/git/csci3130/assn_3/superword/src/test/java/org/apdplat/superword/rule/CompoundWordTest.java,35
superword,org.apdplat.superword.rule,SimilarWord,5,0,13,9,179,31,0,0,0.0,0,1,/Users/wasi.alavi/git/csci3130/assn_3/superword/src/main/java/org/apdplat/superword/rule/SimilarWord.java,35
superword,org.apdplat.superword.rule,IndependentWordRule,0,0,5,4,32,5,0,0,-1.0,0,5,/Users/wasi.alavi/git/csci3130/assn_3/superword/src/main/java/org/apdplat/superword/rule/IndependentWordRule.java,36
superword,org.apdplat.superword.rule,DependenceWordRule,0,0,3,2,63,7,0,0,-1.0,0,5,/Users/wasi.alavi/git/csci3130/assn_3/superword/src/main/java/org/apdplat/superword/rule/DependenceWordRule.java,33
superword,org.apdplat.superword.rule,CharTransformRule,1,0,8,7,168,14,0,0,0.5,0,4,/Users/wasi.alavi/git/csci3130/assn_3/superword/src/main/java/org/apdplat/superword/rule/CharTransformRule.java,34
superword,org.apdplat.superword.rule,WordVector,7,0,5,4,117,16,0,0,0.4,2,0,/Users/wasi.alavi/git/csci3130/assn_3/superword/src/main/java/org/apdplat/superword/rule/WordVector.java,26
superword,org.apdplat.superword.rule,WordVector.Score,3,0,0,0,29,0,0,0,-1.0,0,0,/Users/wasi.alavi/git/csci3130/assn_3/superword/src/main/java/org/apdplat/superword/rule/WordVector.java,115
superword,org.apdplat.superword.rule,PrefixRule,1,0,6,5,77,15,0,0,0.5,3,3,/Users/wasi.alavi/git/csci3130/assn_3/superword/src/main/java/org/apdplat/superword/rule/PrefixRule.java,38
superword,org.apdplat.superword.rule,SuffixRule,1,0,6,5,77,15,0,0,0.5,3,3,/Users/wasi.alavi/git/csci3130/assn_3/superword/src/main/java/org/apdplat/superword/rule/SuffixRule.java,38
